ID;Name;Direction1;Direction2;Coordinates
23254;Tie 180 Kuusisto;Kuusisto;Kaarina;[22.358664689097388, 60.36764159819026, 0.0]
23255;Tie 180 Simonby;Nauvo;Parainen;[22.043473988514776, 60.193726805324346, 0.0]
23257;Tie 42505, Turku, Suikkilantie;NA;NA;[22.202798238661174, 60.463564506555954, 0.0]
23302;Tie 7 Hamina_Lankamalmi;Vaalimaa;Kotka;[27.128804305670478, 60.57209689726846, 0.0]
23303;Tie 7 Hamina_Ruissalo;Vaalimaa;Kotka;[27.142520361884046, 60.57956206130191, 0.0]
23304;Tie 7 Hamina_Hususla;Vaalimaa;Kotka;[27.162340270864487, 60.5908882675688, 0.0]
23305;Tie 7 Hamina_Kolsila_itä;NA;NA;[27.255258896152203, 60.59567237959212, 0.0]
23306;Tie 13 Nuijamaa;NA;Lappeenranta;[28.520227761214247, 60.95499047320243, 0.0]
23307;NA;Vaalimaa;Helsinki;NA
23308;NA;Vaalimaa;Helsinki;NA
23309;NA;Vaalimaa;Helsinki;[27.825572362086113, 60.605246816477226, 22.0]
23310;NA;Vaalimaa;Helsinki;[27.796472363564675, 60.61317203673587, 25.0]
23401;Tie 3 Lempäälä, Kulju;Tampere;Hämeenlinna;[23.765752557722205, 61.408751054831576, 0.0]
23402;Tie 130 Iittala;Tampere;Hämeenlinna;[24.05758593650576, 61.149147945492494, 0.0]
23403;Tie 2 Humppila;Pori;Forssa;[23.288467868892592, 60.96718669810186, 0.0]
